tier,company_name,trade,ownership_type,county,city,zip,address,phone,website,google_rating,google_reviews,services,license_types,license_numbers,status,notes,match_source,google_place_id,google_url,ownership_confidence,parent_company_or_notes,active_license_count
"D — Priority county, needs phone research",101 PRIME SOLUTION LLC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Coconut Creek,33063,"904 Banks Row, Coconut Creek, FL, 33063",,,,,,CAC,CAC1825138,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",104 LCCA ELECTRIC & AC CORPORATION,Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Tampa,33634,"8220 Vassar Cir, Tampa, FL, 33634",,,,,,"CAC, CFC",CAC1819823; CFC1431956,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research","1211 ILLINOIS ST, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Palm Beach,Boca Raton,33432,"470  Ne 14Th Street, Boca Raton, FL, 33432",,,,,,CFC,CFC1433249,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",16/6 AIR SOLUTIONS LLC,HVAC,Independent / Likely Family-Owned (unverified),Pasco,Port Richey,34668,"7000 Maplehurst Dr, Port Richey, FL, 34668",,,,,,CAC,CAC1820795,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1A COOLING CONTROL LLC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Hollywood,33024,"7831 Raleigh Street, Hollywood, FL, 33024",,,,,,CAC,CAC1820021,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1A FLORIDA PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Plantation,33322,"8961 Nw 12Th Place, Plantation, FL, 33322",,,,,,CFC,CFC1428753,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1CALL LEAK EXPERTS,Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Lithia,33547,"8331 Carey Road, Lithia, FL, 33547",,,,,,CFC,CFC1434482,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1K DOMESTIC SOLUTIONS CORP,Mechanical,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33172,"230 Nw 109Th Ave Apt 211, Miami, FL, 33172",,,,,,CMC,CMC1251432,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1PD PLUMBING INC,HVAC,Independent / Likely Family-Owned (unverified),Collier,Naples,34120,"4342 47Th Ave Ne, Naples, FL, 34120",,,,,,CAC,CAC1822419,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST A.R CONSTRUCTION L.L.C,Plumbing,Independent / Likely Family-Owned (unverified),Pasco,New Port Richey,34654,"11126 Bounty Street, New Port Richey, FL, 34654",,,,,,CFC,CFC1430596,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST AIR CONDITIONING CORP,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33055,"4715 Nw 169 St, Miami, FL, 33055",,,,,,CAC,CAC1817297,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST AIRBORNE INC,Mechanical,Independent / Likely Family-Owned (unverified),Pasco,Port Richey,34668,"7021 Potomac Drive Potomac Drive, Port Richey, FL, 34668",,,,,,CMC,CMC1249664,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST CALL AIR CONDITIONING LLC,HVAC,Independent / Likely Family-Owned (unverified),Pinellas,Largo,33774,"14201 113Th Ave N., Largo, FL, 33774",,,,,,CAC,CAC1816549,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1ST CHOICE PLUMBING AND RENOVATION, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Aventura,33180,"3443 Ne 210Th Terrace, Aventura, FL, 33180",,,,,,CFC,CFC1430177,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST CHOICE PLUMBING SOLUTIONS LLC,Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Seffner,33584,"421 E Old Hillsborough Ave, Seffner, FL, 33584",,,,,,CFC,CFC1427505,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1ST CHOICE PLUMBING SYSTEMS, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Tampa,33624,"15114 Pennington Rd, Tampa, FL, 33624",,,,,,"CFC, RF",CFC1434677; RF11067494,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research",1ST CHOICE PLUMBING.COM,Plumbing,Independent / Likely Family-Owned (unverified),Palm Beach,Boynton Beach,33436,"9905 Pineapple Tree Drive Suite 203, Boynton Beach, FL, 33436",,,,,,CFC,CFC1430961,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST CLASS COMMERCIAL SERVICES LLC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Coral Springs,33065,"3700 Nw 78Th Ln, Coral Springs, FL, 33065",,,,,,CAC,CAC1820585; CAC1821168,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research",1ST DOWNS PLUMBING LIMITED LIABILITY COMPANY,Plumbing,Independent / Likely Family-Owned (unverified),Pinellas,Largo,33770,"636 22Nd St Sw, Largo, FL, 33770",,,,,,CFC,CFC1430524,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1ST IMPRESSIONS HEATING & AIR, INC.",HVAC,Independent / Likely Family-Owned (unverified),Duval,Jacksonville,32257,"4347 Arch Creek Dr, Jacksonville, FL, 32257",,,,,,CAC,CAC1819950,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1ST IMPRESSIONS PLUMBING, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Duval,Jacksonville,32257,"2749 Cove View Drive South, Jacksonville, FL, 32257",,,,,,CFC,CFC1429744,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1ST RESPONSE FACILITIES SERVICES, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Odessa,33556,"16574 Hutchison Rd, Odessa, FL, 33556",,,,,,CFC,CFC1434182,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1ST RESPONSE PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Fort Lauderdale,33312,"378  East Dayton Circle, Fort Lauderdale, FL, 33312",,,,,,CFC,CFC1427262,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1TIME PLUMBING LLC,Plumbing,Independent / Likely Family-Owned (unverified),Palm Beach,Boynton Beach,33426,"2313 N Congress Ave #22, Boynton Beach, FL, 33426",,,,,,CFC,CFC1430754,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","2 BROS PLUMBING, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33168,"1150 Nw 111 St, Miami, FL, 33168",,,,,,CFC,CFC1429225,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",2 KOOL AIR LLC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Pembroke Pines,33029,"620 Nw 195Th Ave, Pembroke Pines, FL, 33029",,,,,,CAC,CAC1825102,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",21 AIR ELECTRIC LLC,HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Plant City,33565,"4750 Justin Lane, Plant City, FL, 33565",,,,,,CAC,CAC1817040,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","21 CONSTRUCTION, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33161,"7570 Sw 29Th St, Miami, FL, 33161",,,,,,CFC,CFC1432751,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",239 AIR CONDITIONING INC,HVAC,Independent / Likely Family-Owned (unverified),Lee,Cape Coral,33909,"3458 Ne 9Th Ave, Cape Coral, FL, 33909",,,,,,CAC,CAC1824840,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",239 COOLING LLC,HVAC,Independent / Likely Family-Owned (unverified),Collier,Naples,34120,"3569 5Th Ave Nw, Naples, FL, 34120",,,,,,CAC,CAC1823768,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",239 PLUMBING SOLUTIONS LLC,Plumbing,Independent / Likely Family-Owned (unverified),Lee,Fort Myers,33905,"3760 Hyde Park Dr, Fort Myers, FL, 33905",,,,,,CFC,CFC1433097,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24 HR AIR SERVICE INC,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33179,"20725 Ne 16Th Ave, Suite #A-21, Miami, FL, 33179",,,,,,CAC,CAC1814637,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24 SEVEN PLUMBING LLC,Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Hialeah Gardens,33018,"11119 W Okeechobee Rd Apt 120, Hialeah Gardens, FL, 33018",,,,,,CFC,CFC1431661,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24-7 PLUMBING FL INC.,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Pembroke Pines,33024,"2301 Nw 96Th Terrace Unit 16 C, Pembroke Pines, FL, 33024",,,,,,CFC,CFC1433655,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24/7 A/C INC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Plantation,33323,"11311 Nw 27Th St, Plantation, FL, 33323",,,,,,CAC,CAC1816472,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24/7 AIR CONDITIONING CONTRACTORS LLC,HVAC,Independent / Likely Family-Owned (unverified),Broward,Pembroke Pines,33029,"18497 Nw 22Nd Street, Pembroke Pines, FL, 33029",,,,,,CAC,CAC1823167,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",24/7 AIR CONDITIONING SERVICE CORP,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33184,"13033 Sw 6 Street, Miami, FL, 33184",,,,,,CAC,CAC1819852,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",26 DEGREE HVAC LLC,HVAC,Independent / Likely Family-Owned (unverified),Collier,Marco Island,34145,"101 S Heathwood Drive, Marco Island, FL, 34145",,,,,,CAC,CAC1820840,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","2EAC AIR, LLC",Mechanical,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33157-1244,"11111 Sw 154 St, Miami, FL, 33157-1244",,,,,,CMC,CMC1250437,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",2JBR CONSTRUCTION SERVICES LLC,Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Duval,Jacksonville,32210,"4722 Fireside Dr W, Jacksonville, FL, 32210",,,,,,"CAC, CFC",CAC1823517; CFC1433243,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research","2M BUILDERS, LLC",HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Brandon,33510,"309 W Jersey Ave, Brandon, FL, 33510",,,,,,CAC,CAC1819421,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",2R HVAC.R INC,HVAC,Independent / Likely Family-Owned (unverified),St. Lucie,Port St Lucie,34983,"1143 Sw Ithaca St, Port St Lucie, FL, 34983",,,,,,CAC,CAC1824172,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",3 J'S COOLING,HVAC,Independent / Likely Family-Owned (unverified),Pasco,Wesley Chapel,33545,"32512 Greenwood Loop, Wesley Chapel, FL, 33545",,,,,,CAC,CAC1821503,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","3 J'S PLUMBING SERVICE, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Manatee,Bradenton,34212,"1808  141St Street East, Bradenton, FL, 34212",,,,,,CFC,CFC1430235,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",3 SONS PLUMBING LLC,Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Seffner,33584,"2514 Linden Tree Street, Seffner, FL, 33584",,,,,,CFC,CFC1429829,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",3 WAYS OF AIR LLC,HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Tampa,33615,"9011 W Flora St, Tampa, FL, 33615",,,,,,CAC,CAC1821127,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",3-D AIR SERVICES LLC,HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Lithia,33547-0315,"Po Box 315, Lithia, FL, 33547-0315",,,,,,CAC,CAC1816001,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",305 ARCTIC AIR LLC,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Aventura,33180,"3401 N Country Club Dr Apt 316, Aventura, FL, 33180",,,,,,CAC,CAC1825002,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",32DEGREES SERVICES,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Hialeah,33015,"19431 Nw 59Th Pl, Hialeah, FL, 33015",,,,,,CAC,CAC1815180,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",340 HEATING AND AIRCONDITIONING LLC,HVAC,Independent / Likely Family-Owned (unverified),Orange,Orlando,32810,"5819 Groveline Dr, Orlando, FL, 32810",,,,,,CAC,CAC1820842,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",360 AIR CONDITIONING AND HEAT LLC,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Hialeah,33014,"1639 West 72Nd Street, Hialeah, FL, 33014",,,,,,CAC,CAC1824811,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",360 PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33157,"10281 Sw 156 St, Miami, FL, 33157",,,,,,CFC,CFC1432399,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
